name,score,freq
Liton Das,47.0,2.0
Najmul Hossain Shanto,13.0,2.0
Mohammad Mithun,3.0,2.0
Mushfiqur Rahim,183.0,6.0
Shakib Al Hasan,177.0,6.0
Imrul Kayes,109.0,2.0
Mahmudullah,243.0,6.0
Mashrafe Mortaza,32.0,6.0
Mehidy Hasan Miraz,9.0,2.0
Mohammad Shahzad,158.0,6.0
Ihsanullah,16.0,2.0
Rahmat Shah,118.0,5.0
Hashmatullah Shahidi,215.0,5.0
Asghar Afghan,206.0,7.0
Mohammad Nabi,181.0,7.0
Samiullah Shinwari,177.0,5.0
Rashid Khan,91.0,5.0
Gulbadin Naib,42.0,2.0
Mominul Haque,62.0,3.0
Mosaddek Hossain,75.0,3.0
Abu Hider,1.0,1.0
Rubel Hossain,28.0,5.0
Tamim Iqbal,237.0,4.0
Soumya Sarkar,59.0,4.0
Sabbir Rahman,74.0,4.0
Mosharraf Hossain,4.0,1.0
Shafiul Islam,2.0,1.0
Nawroz Mangal,94.0,4.0
Najibullah Zadran,93.0,5.0
Mirwais Ashraf,26.0,5.0
Dawlat Zadran,6.0,3.0
Taijul Islam,21.0,2.0
Taskin Ahmed,3.0,3.0
Shabir Noori,9.0,1.0
Naveen-ul-Haq,0.0,1.0
Anamul Haque,30.0,2.0
Javed Ahmadi,1.0,1.0
Afsar Zazai,1.0,1.0
Aftab Alam,14.0,1.0
Hamid Hassan,0.0,1.0
Shapoor Zadran,2.0,1.0
Karim Sadiq,12.0,1.0
Shamsur Rahman,0.0,1.0
Nasir Hossain,41.0,1.0
Naeem Islam,35.0,1.0
Ziaur Rahman,41.0,1.0
Abdur Razzak,0.0,1.0
Arafat Sunny,0.0,1.0
Sohag Gazi,2.0,1.0
Amir Hamza,0.0,0.0
